Food Item,Food category,Calories(kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Glycemic Index,Serving Size
Apple,Fruit,95,25,1,0.3,4,39,1 medium (182g)
Pecans,Nuts,196,4,3,20,2.7,10,1 oz (28g)
Berries MIx,Fruit,70,17,2,0.5,6,25,1 cup (145g)
Spinach,Vegetable,7,1,1,0,1,15,1 cup (30g)
Salmon,Fish,206,0,22,13,0,0,3 oz (85g)
Brown Rice,Grain,215,45,5,1.5,3.5,68,1 cup cooked (195g)
Poppy seeds,Seeds ,47,4.7,1.6,3,2.8,35,1 tablespoon
Grilled Chicken Breast,Meat,165,0,31,3.6,0,0,3 oz cooked (85g)
Sweet Potato,Root Vegetable,112,26,2,0,3.9,61,1 medium (130g)
Olive Oil,Fat,119,0,0,13.5,0,0,1 tbsp (13.5g)
Greek Yogurt (unsweetened),Dairy,100,6,10,3.5,0,11,1 cup (240g)
Almonds,Nuts,7,1,0.3,0.6,0.9,15,1 almond
Whole Wheat Bread,Grain,69,12,3,1,1.9,71,1 slice (28g)
Broccoli,Vegetable,55,11,3.7,0.6,3.7,15,1 cup chopped (91g)
Lentils,Legumes,230,40,18,1,15.6,29,1 cup cooked (198g)
Carrot,Vegetable,41,10,1,0.2,2.9,71,1 medium (61g)
Sunflower seeds ,Seeds/Nuts,160,6,5.5,14,3,35,3 tablespoons
Tilapia,Fish,111,0,23,2.3,0,0,3 oz cooked
Chia seeds,Seeds ,138,12,4,9,10,30,2 tablespoons
Venison,Meat,158,26,6,3.2,0,0,3 oz cooked
Stevia-based Sweeteners:,Sugar substitue,0,0,0,0,0,0,1 tablespoon
Navy Beans,Legumes,255,47,15,1,19,29,1 cup
Kiwi,Fruits,61,15,1.1,0.5,3,52,1 medium (100g)
Pumpkin seeds,Seeds/Nuts,150,5,7,13,17,25,2 tablespoons
Eggplant,Vegetable,35,8,1,0,3,15,1 cup (82g)
Quinoa,Grain,222,39,8,4,5,53,1 cup (185g)
Sesame seeds,Seeds ,160,7,5,13.5,3.3,35,3 tablespoons
Catfish,Fish,105,0,21,2.4,0,0,3 oz cooked
Okra,Vegetable,31,7,2,0.3,3.2,20,1 cup (160g)
Date Sugar,Sweetener,45,12,0,0,3,0,1 tablespoon
Banana,Fruit,105,27,1.3,0.3,3.1,51,1 medium (118g)
Mussels,Shellfish,146,7,20,4.5,0,0,3 oz cooked
Hemp seeds,Seeds/Nuts,166,3.3,9.5,14.6,1.2,4,3 tablespoons
Snow peas,Vegetable,26,6,2,0,2.5,30,1 cup (100g)
Sorghum,Grain,195,43,6,1.5,6.7,70,1 cup (192g)
Bell Peppers,Vegetable,29,7,1,0,2.5,15,1 cup (149g)
Kale,Leafy Greens,33,6,3,0.6,1.3,5,1 cup (67g)
Tofu,Plant-based Protein,94,3,10,6,1,15,1/2 cup (126g)
Turkey,Poultry,135,25,3,7,0,0,3 oz cooked
Oats,Grains,154,27,5,3,4,57,1/2 cup (40g)
Avocado,Fruits,120,6,2,10.5,5,40,1/2 avocado (100g)
Sardines,Fish,177,0,21,10,0,0,3 oz (85g)
Cottage cheese,Dairy,110,3,14,4,0,30,1/2 cup (113g)
Edamame,Legumes,94,8,8,3,4,14,1/2 cup (81g)
Monk fruit,Sweetener,0,1,0,0,0,0,1 teaspoon
Cinnamon,Spice,6,2,0,0,1.4,5,1 teaspoon
Garlic,Vegetable,4,1,0.2,0,0.1,10,1 clove
Mackerel,Fish/Seafood,186,0,21,11,0,0,3 oz (85g)
Barley,Grain,97,21,2.5,0.4,3,25,1/2 cup (97g)
Cauliflower,Vegetable,27,6,2,0.3,2.5,10,1 cup (100g)
Black beans,Legumes,114,20,7,0.5,8,30,1/2 cup (186g)
Peaches,Fruits,58,14,1,0,2,35,1 medium-sized peach (150g)
Erythritol,Sugar substitue,0,1,0,0,0,0,1 teaspoon
Eggs,Protein,72,0.6,6,5,0,0,1 large egg (50g)
Pork tenderloin,Meat,122,22,3,3.5,0,0,3 oz cooked
